"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLACBUS","198712","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198713","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198801","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198802","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198803","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198804","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198805","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198806","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198807","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198808","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198809","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198810","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198811","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198812","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198813","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198901","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198902","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198903","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198904","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198905","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198906","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198907","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198908","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198909","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198910","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198911","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198912","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","198913","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199001","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199002","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199003","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199004","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199005","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199006","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199007","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199008","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199009","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199010","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199011","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199012","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199013","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199101","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199102","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199103","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199104","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199105","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199106","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199107","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199108","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199109","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199110","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199111","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199112","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199113","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199201","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199202","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
"CLACBUS","199203","0","1","Coal Consumed by the Transportation Sector","Trillion Btu"
